date,invoice_id,customer_name,region,sku_code,sku_name,category,qty_sold,unit_cost,unit_price,unit_discount,returned_units
2025-08-28,INV-64669,Walmart,Southeast,SKU-1667,SuperMax Food & Beverage Collection,Food & Beverage,304,6.98,10.55,0,0
2025-10-23,INV-60421,Rite Aid,Southeast,SKU-1643,FreshClean Medical Supplies 12-ct Bundle,Medical Supplies,140,21.75,33.86,0,0
2025-10-18,INV-36922,Costco,Midwest,SKU-1077,MegaCare Cleaning Collection,Cleaning,117,2.15,5.13,0,0
2025-09-04,INV-10088,Wegmans,Northeast,SKU-1261,MegaShield Beauty 6-ct Box,Beauty,180,16.28,52.29,0,0
2025-08-28,INV-31059,Family Dollar,Northeast,SKU-1698,ProCare Cleaning 6-ct Collection,Cleaning,185,5.0,11.38,0,0
2025-09-27,INV-11053,Kroger,National,SKU-1107,ProComfort Cleaning 6-ct Kit,Cleaning,201,4.93,10.97,0.41,0
2025-08-26,INV-97805,Whole Foods,Midwest,SKU-1288,SuperFresh Food & Beverage 24-ct Bundle,Food & Beverage,246,2.58,3.64,0,0
2025-08-14,INV-15135,Rite Aid,Southeast,SKU-1949,EliteComfort Personal Care Box,Personal Care,329,3.65,6.96,0,23
2025-10-05,INV-51123,Amazon,Northeast,SKU-1034,SuperComfort Food & Beverage 48-ct Bundle,Food & Beverage,372,3.64,5.78,0,0
2025-09-30,INV-39036,Sam's Club,Southwest,SKU-1327,SuperSoft Beauty Pack,Beauty,373,15.24,41.87,1.2,0
2025-09-24,INV-16646,Rite Aid,National,SKU-1304,EssentialBright Paper Goods 36-ct Bundle,Paper Goods,292,4.58,7.1,1.67,0
2025-09-24,INV-89459,Amazon,Midwest,SKU-1234,PureCare Cleaning 6-ct Case,Cleaning,443,2.35,5.19,0.57,13
2025-08-07,INV-56515,Sam's Club,National,SKU-1473,PremiumFresh Home Goods 24-ct Pack,Home Goods,150,6.07,12.89,0,0
2025-10-20,INV-61469,Wegmans,Midwest,SKU-1023,PremiumGuard Health & Wellness 48-ct Case,Health & Wellness,308,8.01,18.72,0.78,0
2025-10-20,INV-93362,Walgreens,National,SKU-1117,SuperSoft Paper Goods 12-ct Set,Paper Goods,103,15.88,25.97,0,0
2025-08-22,INV-80527,Amazon,National,SKU-1561,EssentialBright Home Goods 24-ct Case,Home Goods,213,21.72,35.79,1.89,0
2025-10-12,INV-87619,Costco,Northeast,SKU-1032,UltraSoft Medical Supplies Kit,Medical Supplies,63,22.72,27.78,0,0
2025-08-11,INV-24206,Family Dollar,Northeast,SKU-1780,ProShield Paper Goods 12-ct Box,Paper Goods,414,12.8,24.13,0,0
2025-08-13,INV-31482,Meijer,West,SKU-1931,EliteGuard Cleaning 12-ct Kit,Cleaning,35,1.58,3.34,0,0
2025-09-06,INV-16580,Walgreens,Northeast,SKU-1090,MegaComfort Personal Care 6-ct Collection,Personal Care,233,8.79,27.3,1.98,0
2025-08-18,INV-36122,Dollar General,Southeast,SKU-1984,PremiumShield Personal Care 36-ct Box,Personal Care,494,5.28,12.99,0,0
2025-11-04,INV-45808,BJ's Wholesale,Southeast,SKU-1194,PureBright Medical Supplies 12-ct Pack,Medical Supplies,371,18.15,28.85,0,4
2025-10-29,INV-32391,Walmart,National,SKU-1868,AdvancedGuard Paper Goods 12-ct Bundle,Paper Goods,237,3.24,6.38,0,0
2025-09-29,INV-23668,Dollar General,National,SKU-1753,FreshCare Beauty 6-ct Kit,Beauty,141,7.07,15.45,0,11
2025-10-24,INV-74665,Family Dollar,Northeast,SKU-1047,UltraGuard Beauty 12-ct Collection,Beauty,169,16.73,40.92,0,8
2025-10-16,INV-34604,Albertsons,Southeast,SKU-1656,ProPlus Cleaning 36-ct Bundle,Cleaning,275,5.82,11.58,0,0
2025-09-01,INV-65434,Dollar General,West,SKU-1310,SuperMax Cleaning 6-ct Case,Cleaning,193,3.88,9.76,0,0
2025-08-24,INV-50743,Wegmans,Southeast,SKU-1193,EssentialClean Cleaning Set,Cleaning,459,2.0,4.18,0,0
2025-08-17,INV-15929,CVS,Northeast,SKU-1696,EssentialClean Medical Supplies 48-ct Collection,Medical Supplies,85,24.59,34.06,0,0
2025-08-06,INV-68864,H-E-B,West,SKU-1224,MegaBright Health & Wellness 6-ct Pack,Health & Wellness,259,3.76,9.82,0,33
2025-10-23,INV-28006,Amazon,Southwest,SKU-1535,EliteFresh Food & Beverage 12-ct Pack,Food & Beverage,447,1.95,3.5,0,0
2025-09-24,INV-96174,Sam's Club,National,SKU-1530,EssentialFresh Health & Wellness 48-ct Set,Health & Wellness,136,12.37,28.77,0,16
2025-09-14,INV-87501,Amazon,Southeast,SKU-1425,UltraCare Food & Beverage 24-ct Box,Food & Beverage,309,6.12,8.9,0,0
2025-08-18,INV-61925,Kroger,Southeast,SKU-1457,ProBright Health & Wellness 12-ct Collection,Health & Wellness,193,13.05,30.73,1.23,0
2025-09-20,INV-84738,Publix,West,SKU-1166,UltraShield Paper Goods 36-ct Case,Paper Goods,377,7.24,13.49,0,52
2025-09-15,INV-87991,Sam's Club,Midwest,SKU-1604,EssentialMax Paper Goods 24-ct Bundle,Paper Goods,391,9.45,15.01,0.5,50
2025-08-25,INV-69907,Costco,Southeast,SKU-1633,ProFresh Cleaning 48-ct Pack,Cleaning,306,3.65,10.06,0,0
2025-10-19,INV-60153,Wegmans,Midwest,SKU-1977,ElitePlus Cleaning 36-ct Case,Cleaning,177,5.83,9.79,0.41,0
2025-08-18,INV-13426,Target,Northeast,SKU-1371,AdvancedSoft Cleaning 36-ct Collection,Cleaning,398,8.89,17.68,0,0
2025-09-15,INV-53114,Publix,Southeast,SKU-1471,ProCare Paper Goods 48-ct Bundle,Paper Goods,338,16.03,23.74,1.62,27
2025-10-01,INV-97548,Rite Aid,West,SKU-1372,PremiumBright Cleaning 6-ct Case,Cleaning,28,2.55,6.36,0,0
2025-10-08,INV-37620,Target,West,SKU-1596,PureBright Home Goods 36-ct Pack,Home Goods,411,19.75,42.61,0,0
2025-09-03,INV-87658,Walgreens,Southwest,SKU-1779,SuperPlus Beauty 24-ct Pack,Beauty,383,11.79,43.92,0,11
